label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,801,801,3,199.969193,9.901,0.629537,[M-H]-,C12 PARENT,Cysteine S-sulfate,Cysteine S-sulfate,C3H7NO5S2,0.101,0.457834,199.969193,38652.68,46640.11,34304.36,39677.71,34534.58
,802,802,1,200.129120,2.732,0.732435,[M-H]-,C12 PARENT,N-Octanoylglycine,N-Octanoylglycine,C10H19NO3,1.473,0.457468,200.129120,122211.00,78255.03,168787.39,112735.70,118934.59
,802,803,0,201.132385,2.760,0.059074,,C13-label-1,N-Octanoylglycine,N-Octanoylglycine,C10H19NO3,1.445,0.910372,200.129120,13065.42,3723.13,8157.36,5144.15,3490.74
,804,804,1,200.129120,2.732,0.730890,[M-H]-,C12 PARENT,Capryloyl glycine,Capryloyl glycine,C10H19NO3,0.295,0.457468,200.129120,122211.00,78255.03,168787.39,112735.70,118934.59
,804,805,0,201.132385,2.760,0.059074,,C13-label-1,Capryloyl glycine,Capryloyl glycine,C10H19NO3,0.267,0.910372,200.129120,13065.42,3723.13,8157.36,5144.15,3490.74
,806,806,5,201.022537,2.102,0.846694,[M-H]-,C12 PARENT,4-Ethylphenyl sulfate,4-Ethylphenyl sulfate,C8H10O4S,-1.000,0.834964,201.022537,18050.74,12840.65,20558.02,14246.89,13261.05
,806,807,0,209.048721,2.118,0.055716,,C13-label-8,4-Ethylphenyl sulfate,4-Ethylphenyl sulfate,C8H10O4S,-1.000,3.941528,201.022537,0.00,3090.55,2982.10,2489.64,2107.97
,808,808,5,201.113129,10.800,0.785734,[M-H]-,C12 PARENT,Sebacic acid,Sebacic acid,C10H18O4,0.456,0.531101,201.113129,52735.73,56514.83,50758.98,62979.95,55562.25
,808,809,1,202.116516,10.800,0.597886,,C13-label-1,Sebacic acid,Sebacic acid,C10H18O4,0.456,0.377475,201.113129,5729.89,6639.28,7871.64,6280.93,9489.23
,810,810,3,201.113113,3.236,0.617736,[M-H]-,C12 PARENT,Sebacate,Sebacate,C10H18O4,0.974,0.606973,201.113113,257294.17,161331.73,275908.81,140543.62,214926.36
,810,811,0,202.116440,3.287,0.222703,,C13-label-1,Sebacate,Sebacate,C10H18O4,0.923,0.754950,201.113113,19466.21,20536.19,24254.27,8193.37,16752.36
,812,812,5,201.124313,14.535,0.847859,[M-H]-,C12 PARENT,Leu-Ala isomer,Leu-Ala isomer,C9H18N2O3,1.733,0.758674,201.124313,32776.64,22326.08,28512.98,27928.47,23129.22
,812,813,0,202.127640,14.501,0.093538,,C13-label-1,Leu-Ala isomer,Leu-Ala isomer,C9H18N2O3,1.699,0.905890,201.124313,1695.73,736.73,1495.29,1937.10,0.00
,814,814,5,201.124329,14.535,0.847512,[M-H]-,C12 PARENT,Leu-Ala,Leu-Ala,C9H18N2O3,0.989,0.682807,201.124329,32776.64,22326.08,28512.98,27928.47,23129.22
,814,815,0,202.127640,14.501,0.093538,,C13-label-1,Leu-Ala,Leu-Ala,C9H18N2O3,0.955,0.905890,201.124329,1695.73,736.73,1495.29,1937.10,0.00
,816,816,1,202.017883,2.274,0.840801,[M-H]-,C12 PARENT,Cystathionine ketimine isomer,Cystathionine ketimine isomer,C7H9NO4S,0.117,0.377659,202.017883,12933.11,10798.11,20685.73,39283.88,17005.86
,816,817,0,203.020721,2.155,0.055191,,C13-label-1,Cystathionine ketimine isomer,Cystathionine ketimine isomer,C7H9NO4S,0.002,2.856025,202.017883,0.00,0.00,989.26,0.00,0.00
,818,818,5,202.050903,2.569,0.710041,[M-H]-,C12 PARENT,Indole-3-pyruvic acid,Indole-3-pyruvic acid,C11H9NO3,0.001,0.302078,202.050903,315263.03,326414.25,434700.59,338354.00,361678.53
